BusStopCode,planning_area,Longitude,Latitude,subzone_name
5009,Singapore River,103.8492364,1.285925541,Boat Quay
5012,Outram,103.8408772,1.281545833,People's Park
5013,Outram,103.8429987,1.284069799,People's Park
5019,Outram,103.84105,1.281183889,Chinatown
5022,Outram,103.844372,1.285710899,Pearl's Hill
5023,Singapore River,103.8454038,1.286929284,Clarke Quay
5029,Singapore River,103.8481978,1.287122834,Boat Quay
5039,Outram,103.8425428,1.282938191,Chinatown
5049,Outram,103.8445507,1.285311148,China Square
5059,Singapore River,103.8457504,1.286764201,Boat Quay
5069,Outram,103.8402979,1.2802763,Chinatown
5129,Outram,103.8463467,1.286011667,Boat Quay
5131,Outram,103.8453381,1.284073056,Chinatown
5189,Outram,103.8452806,1.282091396,Chinatown
5199,Outram,103.8466605,1.284514558,China Square
5239,Outram,103.8415105,1.27854113,Chinatown
5241,Outram,103.8422749,1.280719882,Chinatown
5259,Outram,103.8426271,1.279794478,Chinatown
5269,Downtown Core,103.8446005,1.280977473,Maxwell
5271,Outram,103.8438221,1.279753295,Chinatown
5319,Downtown Core,103.849114,1.284437,Phillip
5411,Outram,103.8430919,1.275191657,Chinatown
5419,Outram,103.8431868,1.274706695,Anson
5421,Outram,103.8434635,1.277774706,Chinatown
5429,Outram,103.8437065,1.277694131,Chinatown
5431,Downtown Core,103.8420461,1.27408,Anson
5519,Outram,103.8411269,1.275534722,Chinatown
5521,Outram,103.8405922,1.276768611,Everton Park
5629,Downtown Core,103.84187,1.273211389,Anson
5631,Bukit Merah,103.8403472,1.273460559,Everton Park
5641,Bukit Merah,103.8414062,1.272723931,Everton Park
5649,Bukit Merah,103.8409391,1.272384212,City Terminals
5651,Downtown Core,103.8430731,1.273218611,Anson
6011,Bukit Merah,103.8380139,1.28166,Singapore General Hospital
6029,Bukit Merah,103.8383828,1.281770412,People's Park
6031,Outram,103.8387917,1.286070556,Pearl's Hill
6039,Outram,103.8396256,1.287059979,Pearl's Hill
6049,Bukit Merah,103.8351771,1.284748569,Pearl's Hill
6051,Bukit Merah,103.8340567,1.28475981,Tiong Bahru
6069,Outram,103.8349616,1.286231577,Pearl's Hill
6071,Bukit Merah,103.8336003,1.286858595,Tiong Bahru
6081,Bukit Merah,103.8334988,1.288370864,Bukit Ho Swee
6129,Bukit Merah,103.8344092,1.290781621,Robertson Quay
6131,Bukit Merah,103.8322275,1.291524722,Bukit Ho Swee
6141,Bukit Merah,103.8338124,1.289633009,Bukit Ho Swee
