BusStopCode,Direction,Distance,Operator,ServiceNo,StopSequence
14161,1,17,SBST,100,41
14171,1,17.4,SBST,100,42
15041,1,18.1,SBST,100,43
15051,1,18.4,SBST,100,44
18011,1,18.9,SBST,100,45
11511,1,19.5,SBST,100,46
11021,1,20,SBST,100,47
11031,1,20.3,SBST,100,48
11041,1,21,SBST,100,49
11051,1,21.4,SBST,100,50
11161,1,21.9,SBST,100,51
11171,1,22.4,SBST,100,52
11181,1,22.8,SBST,100,53
11351,1,23.3,SBST,100,54
11009,1,23.6,SBST,100,55
11009,2,0,SBST,100,1
11359,2,0.2,SBST,100,2
11189,2,0.6,SBST,100,3
11179,2,0.8,SBST,100,4
11169,2,1.4,SBST,100,5
11059,2,2,SBST,100,6
11049,2,2.4,SBST,100,7
11039,2,2.8,SBST,100,8
11029,2,3.2,SBST,100,9
11519,2,3.8,SBST,100,10
18019,2,4.5,SBST,100,11
15059,2,5,SBST,100,12
15049,2,5.3,SBST,100,13
14189,2,5.7,SBST,100,14
14179,2,6,SBST,100,15
14169,2,6.4,SBST,100,16
14159,2,6.9,SBST,100,17
14139,2,7.3,SBST,100,18
14129,2,7.8,SBST,100,19
14119,2,8.1,SBST,100,20
14109,2,8.8,SBST,100,21
14089,2,9.2,SBST,100,22
14069,2,10,SBST,100,23
5641,2,10.6,SBST,100,24
3222,2,11,SBST,100,25
3111,2,11.7,SBST,100,26
3031,2,12.3,SBST,100,27
3011,2,12.9,SBST,100,28
2111,2,13.5,SBST,100,29
1611,2,14.1,SBST,100,30
1621,2,14.3,SBST,100,31
1511,2,14.6,SBST,100,32
1521,2,14.9,SBST,100,33
1411,2,15.2,SBST,100,34
1421,2,15.5,SBST,100,35
1341,2,16,SBST,100,36
80011,2,16.7,SBST,100,37
80031,2,17.2,SBST,100,38
80051,2,17.5,SBST,100,39
80071,2,17.9,SBST,100,40
80091,2,18.4,SBST,100,41
81081,2,18.6,SBST,100,42
81091,2,19,SBST,100,43
70011,2,19.4,SBST,100,44
70021,2,19.8,SBST,100,45
70031,2,20.1,SBST,100,46
70041,2,20.6,SBST,100,47
70051,2,20.9,SBST,100,48
70061,2,21.4,SBST,100,49
61031,2,21.9,SBST,100,50
61041,2,22.2,SBST,100,51
62111,2,22.6,SBST,100,52
62121,2,22.8,SBST,100,53
66009,2,23.3,SBST,100,54
66009,1,0,SBST,100A,1
62129,1,0.6,SBST,100A,2
62119,1,0.9,SBST,100A,3
61049,1,1.2,SBST,100A,4
61039,1,1.6,SBST,100A,5
70069,1,2,SBST,100A,6
70059,1,2.7,SBST,100A,7
70049,1,2.9,SBST,100A,8
70039,1,3.3,SBST,100A,9
70029,1,3.6,SBST,100A,10
70019,1,4,SBST,100A,11
81099,1,4.4,SBST,100A,12
81089,1,4.8,SBST,100A,13
66009,1,0,SBST,101,1
62131,1,0.5,SBST,101,2
62141,1,0.9,SBST,101,3
63011,1,1.4,SBST,101,4
63021,1,1.9,SBST,101,5
63031,1,2.5,SBST,101,6
63041,1,2.8,SBST,101,7
63051,1,3,SBST,101,8
63061,1,3.3,SBST,101,9
64011,1,3.5,SBST,101,10
64541,1,4.1,SBST,101,11
64551,1,4.4,SBST,101,12
64529,1,4.6,SBST,101,13
64339,1,4.9,SBST,101,14
64341,1,5.1,SBST,101,15
64351,1,5.4,SBST,101,16
64431,1,5.9,SBST,101,17
64441,1,6.2,SBST,101,18
64461,1,6.5,SBST,101,19
66499,1,6.8,SBST,101,20
66541,1,7.1,SBST,101,21
66551,1,7.3,SBST,101,22
66561,1,7.5,SBST,101,23
66571,1,7.9,SBST,101,24
66581,1,8.2,SBST,101,25
66549,1,8.7,SBST,101,26
66491,1,8.9,SBST,101,27
64619,1,9.2,SBST,101,28
64561,1,9.5,SBST,101,29
64359,1,10,SBST,101,30
64349,1,10.4,SBST,101,31
64331,1,10.8,SBST,101,32
64521,1,11.1,SBST,101,33
64559,1,11.3,SBST,101,34
64549,1,11.5,SBST,101,35
64019,1,12.1,SBST,101,36
63069,1,12.4,SBST,101,37
63059,1,12.7,SBST,101,38
63049,1,13.1,SBST,101,39
63039,1,13.5,SBST,101,40
63029,1,14,SBST,101,41
63019,1,14.6,SBST,101,42
62149,1,14.9,SBST,101,43
62189,1,15.1,SBST,101,44
66009,1,15.8,SBST,101,46
64009,1,0,SBST,102,1
64041,1,0.7,SBST,102,2
64051,1,1.1,SBST,102,3
64061,1,1.6,SBST,102,4
64401,1,2.1,SBST,102,5
67739,1,2.4,SBST,102,6
67729,1,2.8,SBST,102,7
67719,1,3.2,SBST,102,8
67609,1,3.9,SBST,102,9
67619,1,4.3,SBST,102,10
67341,1,4.5,SBST,102,11
67199,1,4.8,SBST,102,12
67189,1,5,SBST,102,13
67409,1,5.3,SBST,102,14
67399,1,5.8,SBST,102,15
67389,1,6.1,SBST,102,16
67549,1,6.4,SBST,102,17
67559,1,7,SBST,102,18
67569,1,7.4,SBST,102,19
67579,1,7.7,SBST,102,20
68031,1,8.1,SBST,102,21
68051,1,8.4,SBST,102,22
68111,1,8.8,SBST,102,23
68099,1,10.4,SBST,102,24
68209,1,11,SBST,102,25
68239,1,11.4,SBST,102,26
68201,1,12.9,SBST,102,27
68091,1,13.3,SBST,102,28
68119,1,14.7,SBST,102,29
68059,1,15,SBST,102,30
68049,1,15.2,SBST,102,31
