"long.f","lat.f","between.f","closeness.f","eigen.f","degree.f","long.t","lat.t","BusStopCode","Description","RoadName","planning_area","combined.f"
103.8285292,1.285720484,0.00222782115589829,0.988274800810819,0,0,103.8266897,1.285931354,"10151","Ctrl Green Condo","Tiong Bahru Rd","Bukit Merah",-Inf
103.8266897,1.285931354,0.00445416055512488,0.987947382429772,0,0.285714285714286,103.82346,1.28736808,"10161","Opp Tiong Bahru Stn","Tiong Bahru Rd","Bukit Merah",-Inf
103.8266897,1.285931354,0.00445416055512488,0.987947382429772,0,0.285714285714286,103.8248952,1.283736034,"10161","Opp Tiong Bahru Stn","Tiong Bahru Rd","Bukit Merah",-Inf
103.8266897,1.285931354,0.00445416055512488,0.987947382429772,0,0.285714285714286,103.8255941,1.289069722,"10161","Opp Tiong Bahru Stn","Tiong Bahru Rd","Bukit Merah",-Inf
103.8274812,1.285999614,0.00214410190394734,0,0.000276856070965526,0,103.8328338,1.286067975,"10169","Tiong Bahru Stn","Tiong Bahru Rd","Bukit Merah",-Inf
103.82346,1.28736808,0.00622782329114766,0.986490206056185,4.66207601148924e-17,0.142857142857143,103.8210974,1.288503994,"10171","Opp Tiong Bahru Pk","Tiong Bahru Rd","Bukit Merah",-44.6427261652361
103.82346,1.28736808,0.00622782329114766,0.986490206056185,4.66207601148924e-17,0.142857142857143,103.822593,1.287238333,"10171","Opp Tiong Bahru Pk","Tiong Bahru Rd","Bukit Merah",-44.6427261652361
103.8239583,1.287223333,0.0197583361630929,0.00176482601038654,0.000129257558243356,0.142857142857143,103.8274812,1.285999614,"10179","Tiong Bahru Pk","Tiong Bahru Rd","Bukit Merah",-21.1634966812568
103.8239583,1.287223333,0.0197583361630929,0.00176482601038654,0.000129257558243356,0.142857142857143,103.8255941,1.289069722,"10179","Tiong Bahru Pk","Tiong Bahru Rd","Bukit Merah",-21.1634966812568
103.8210974,1.288503994,0.0421479511278429,0.985992146488504,9.5364056309339e-05,0,103.8190312,1.28860026,"10181","BEF AR-RABITAH MQUE","Tiong Bahru Rd","Bukit Merah",-Inf
103.8218319,1.288588052,0.0551458959560352,0.984745491196518,4.98153012108925e-05,0.142857142857143,103.8239583,1.287223333,"10189","Blk 104A CP","Tiong Bahru Rd","Bukit Merah",-14.7662435248
103.8218319,1.288588052,0.0551458959560352,0.984745491196518,4.98153012108925e-05,0.142857142857143,103.822593,1.287238333,"10189","Blk 104A CP","Tiong Bahru Rd","Bukit Merah",-14.7662435248
103.8190312,1.28860026,0.042230929501458,0.986472051616922,6.48841168957704e-05,0,103.8166285,1.289281445,"10191","Blk 78","Tiong Bahru Rd","Bukit Merah",-Inf
103.8193662,1.288757233,0.0550629175824201,0.984266417929946,7.32165191887955e-05,0,103.8218319,1.288588052,"10199","Delta Swim Cplx","Tiong Bahru Rd","Bukit Merah",-Inf
103.8166285,1.289281445,0.0423139078750731,0.986952232843474,4.41460733558062e-05,0.142857142857143,103.8144517,1.291538333,"10201","Opp Redhill Stn","Tiong Bahru Rd","Bukit Merah",-15.1496898152636
103.8166285,1.289281445,0.0423139078750731,0.986952232843474,4.41460733558062e-05,0.142857142857143,103.8158784,1.294283329,"10201","Opp Redhill Stn","Tiong Bahru Rd","Bukit Merah",-15.1496898152636
103.8167289,1.289546317,0.054979939208805,0.983787619852621,0.00010761068490625,0,103.8193662,1.288757233,"10209","Redhill Stn","Tiong Bahru Rd","Bukit Merah",-Inf
103.8311179,1.290329066,0,0.991666138689596,0,0,103.827881,1.290418509,"10221","Ganges Ctr","Ganges Ave","Bukit Merah",-Inf
103.827881,1.290418509,0.00223004379090583,0.991338036521755,0,0.142857142857143,103.8236233,1.290616667,"10231","Blk 51 CP","Ganges Ave","Bukit Merah",-Inf
103.827881,1.290418509,0.00223004379090583,0.991338036521755,0,0.142857142857143,103.8257346,1.28875833,"10231","Blk 51 CP","Ganges Ave","Bukit Merah",-Inf
103.828653,1.290606888,0.00214780629562658,0,0.000207505923179388,0,103.8317819,1.290521378,"10239","Blk 79","Ganges Ave","Bukit Merah",-Inf
103.8236233,1.290616667,0.0199422221660506,0.988389926745678,2.63833912861347e-17,0,103.8204723,1.290903358,"10241","Gan Eng Seng Sec Sch","Alexandra Rd","Bukit Merah",-Inf
103.8240778,1.290881389,0.0040723612527173,0.000135476161476544,2.8127760044959e-05,0,103.828653,1.290606888,"10249","Opp Gan Eng Seng Sec Sch","Alexandra Rd","Bukit Merah",-Inf
103.8204723,1.290903358,0.0221604119035829,0.988062302290326,3.66920309519344e-17,0,103.8175767,1.29116,"10261","Delta Sports Hall","Alexandra Rd","Bukit Merah",-Inf
103.8205758,1.291253319,0.00621498139999294,0.000270979192468715,4.13410464859512e-05,0,103.8240778,1.290881389,"10269","Opp Delta Sports Hall","Alexandra Rd","Bukit Merah",-Inf
103.8175767,1.29116,0.0243771198844434,0.987734645366372,3.47115583756413e-17,0,103.8144517,1.291538333,"10271","Opp Tanglin View","Alexandra Rd","Bukit Merah",-Inf
103.8175766,1.291513732,0.00835611979059688,0.000406509092960563,6.07614016125608e-05,0,103.8205758,1.291253319,"10279","Tanglin View","Alexandra Rd","Bukit Merah",-Inf
103.8144517,1.291538333,0.047573403181266,0.987406956087571,3.0036253646894e-05,0,103.8106587,1.292158553,"10281","SIS Bldg","Alexandra Rd","Bukit Merah",-Inf
103.8144064,1.291869975,0.0104957764245291,0.000542065862929795,8.93046557776853e-05,0,103.8175766,1.291513732,"10289","Opp SIS Bldg","Alexandra Rd","Queenstown",-Inf
103.8106587,1.292158553,0.0476563815548811,0.98788767540971,2.04361671279148e-05,0.142857142857143,103.8070669,1.292884999,"10291","Bef Dawson Rd","Alexandra Rd","Bukit Merah",-15.8000394862738
103.8106587,1.292158553,0.0476563815548811,0.98788767540971,2.04361671279148e-05,0.142857142857143,103.8078618,1.291170495,"10291","Bef Dawson Rd","Alexandra Rd","Bukit Merah",-15.8000394862738
103.8114649,1.292334985,0.0475227517990384,0.983319019809393,0.000131256378752186,0.142857142857143,103.8167289,1.289546317,"10299","Aft Dawson Rd","Alexandra Rd","Queenstown",-13.9476365786359
103.8114649,1.292334985,0.0475227517990384,0.983319019809393,0.000131256378752186,0.142857142857143,103.8144064,1.291869975,"10299","Aft Dawson Rd","Alexandra Rd","Queenstown",-13.9476365786359
103.8158784,1.294283329,0.0192835813254808,0.00108504701900819,3.0036253646839e-05,0.142857142857143,103.8154738,1.296681,"10321","Aft Margaret Dr","Tanglin Rd","Queenstown",-23.1336488111474
