"from","to","DAY_TYPE","weight","category"
"218","273","WEEKDAY",40,1
"269","273","WEEKDAY",120,1
"314","273","WEEKDAY",20,1
"269","273","WEEKENDS/HOLIDAY",80,1
"103","249","WEEKENDS/HOLIDAY",40,1
"313","249","WEEKENDS/HOLIDAY",1220,1
"182","249","WEEKENDS/HOLIDAY",20,1
"182","249","WEEKDAY",20,1
"311","249","WEEKDAY",40,1
"311","249","WEEKENDS/HOLIDAY",20,1
"249","249","WEEKDAY",160,1
"321","249","WEEKDAY",40,1
"249","249","WEEKENDS/HOLIDAY",60,1
"275","249","WEEKENDS/HOLIDAY",80,1
"293","249","WEEKDAY",20,1
"103","249","WEEKDAY",60,1
"275","249","WEEKDAY",220,1
"313","249","WEEKDAY",2300,1
"136","22","WEEKDAY",4,1
"58","22","WEEKENDS/HOLIDAY",558,1
"58","22","WEEKDAY",1188,1
"63","22","WEEKDAY",72,1
"149","110","WEEKENDS/HOLIDAY",20,1
"236","110","WEEKENDS/HOLIDAY",40,1
"120","110","WEEKDAY",60,1
"197","110","WEEKDAY",1080,1
"49","110","WEEKDAY",100,1
"189","110","WEEKDAY",400,1
"35","110","WEEKDAY",20,1
"291","110","WEEKDAY",280,1
"308","110","WEEKENDS/HOLIDAY",40,1
"49","110","WEEKENDS/HOLIDAY",40,1
"291","110","WEEKENDS/HOLIDAY",220,1
"163","110","WEEKDAY",40,1
"36","110","WEEKDAY",40,1
"230","110","WEEKDAY",140,1
"189","110","WEEKENDS/HOLIDAY",20,1
"163","110","WEEKENDS/HOLIDAY",20,1
"197","110","WEEKENDS/HOLIDAY",200,1
"131","110","WEEKDAY",20,1
"131","110","WEEKENDS/HOLIDAY",20,1
"133","110","WEEKDAY",60,1
"308","110","WEEKDAY",20,1
"149","110","WEEKDAY",40,1
"133","110","WEEKENDS/HOLIDAY",40,1
"230","110","WEEKENDS/HOLIDAY",60,1
"110","110","WEEKDAY",640,1
"148","110","WEEKENDS/HOLIDAY",180,1
"110","110","WEEKENDS/HOLIDAY",360,1
"148","110","WEEKDAY",1340,1
"120","110","WEEKENDS/HOLIDAY",60,1
"24","110","WEEKENDS/HOLIDAY",20,1
"53","210","WEEKDAY",560,1
"65","210","WEEKDAY",500,1
"220","210","WEEKENDS/HOLIDAY",40,1
"65","210","WEEKENDS/HOLIDAY",420,1
"53","210","WEEKENDS/HOLIDAY",460,1
"152","41","WEEKDAY",18,1
"138","41","WEEKDAY",32,1
"138","41","WEEKENDS/HOLIDAY",8,1
"57","41","WEEKDAY",112,1
"57","41","WEEKENDS/HOLIDAY",94,1
"199","92","WEEKDAY",20,1
"199","92","WEEKENDS/HOLIDAY",20,1
"262","199","WEEKENDS/HOLIDAY",100,1
"167","199","WEEKDAY",380,1
"263","199","WEEKENDS/HOLIDAY",1740,1
"78","199","WEEKDAY",100,1
"195","199","WEEKDAY",20,1
"231","199","WEEKDAY",1180,1
"189","199","WEEKENDS/HOLIDAY",140,1
"163","199","WEEKENDS/HOLIDAY",20,1
"231","199","WEEKENDS/HOLIDAY",180,1
"149","199","WEEKDAY",3620,1
"117","199","WEEKDAY",160,1
"34","199","WEEKENDS/HOLIDAY",40,1
"214","199","WEEKDAY",360,1
"227","199","WEEKDAY",120,1
"132","199","WEEKDAY",60,1
"149","199","WEEKENDS/HOLIDAY",1080,1
"182","199","WEEKENDS/HOLIDAY",220,1
"262","199","WEEKDAY",140,1
"34","199","WEEKDAY",100,1
"171","199","WEEKENDS/HOLIDAY",140,1
"189","199","WEEKDAY",360,1
"263","199","WEEKDAY",1660,1
"167","199","WEEKENDS/HOLIDAY",40,1
"99","199","WEEKDAY",160,1
"247","199","WEEKDAY",260,1
"214","199","WEEKENDS/HOLIDAY",300,1
"182","199","WEEKDAY",260,1
"163","199","WEEKDAY",60,1
"108","199","WEEKENDS/HOLIDAY",980,1
"228","199","WEEKDAY",20,1
"108","199","WEEKDAY",2220,1
"69","199","WEEKDAY",20,1
"199","199","WEEKENDS/HOLIDAY",4020,1
"117","199","WEEKENDS/HOLIDAY",100,1
"173","199","WEEKDAY",40,1
"199","199","WEEKDAY",9620,1
"247","199","WEEKENDS/HOLIDAY",140,1
"53","153","WEEKDAY",20,1
"200","153","WEEKENDS/HOLIDAY",80,1
"109","153","WEEKDAY",40,1
"200","153","WEEKDAY",160,1
"189","153","WEEKDAY",460,1
"153","153","WEEKDAY",280,1
"53","153","WEEKENDS/HOLIDAY",60,1
"170","153","WEEKENDS/HOLIDAY",20,1
"185","153","WEEKENDS/HOLIDAY",20,1
"185","153","WEEKDAY",20,1
"153","153","WEEKENDS/HOLIDAY",200,1
"142","153","WEEKDAY",60,1
"149","153","WEEKDAY",1560,1
"149","153","WEEKENDS/HOLIDAY",340,1
"109","153","WEEKENDS/HOLIDAY",20,1
"189","153","WEEKENDS/HOLIDAY",40,1
"170","153","WEEKDAY",40,1
"167","108","WEEKDAY",60,1
"57","108","WEEKENDS/HOLIDAY",20,1
"213","108","WEEKDAY",100,1
"153","108","WEEKENDS/HOLIDAY",120,1
"269","108","WEEKDAY",400,1
"271","108","WEEKENDS/HOLIDAY",140,1
"167","108","WEEKENDS/HOLIDAY",40,1
"118","108","WEEKDAY",140,1
"189","108","WEEKENDS/HOLIDAY",900,1
"253","108","WEEKENDS/HOLIDAY",80,1
"199","108","WEEKDAY",3380,1
"246","108","WEEKENDS/HOLIDAY",120,1
"214","108","WEEKDAY",60,1
"149","108","WEEKDAY",120,1
"246","108","WEEKDAY",40,1
"153","108","WEEKDAY",60,1
"27","108","WEEKDAY",320,1
"69","108","WEEKENDS/HOLIDAY",20,1
"108","108","WEEKDAY",6040,1
"269","108","WEEKENDS/HOLIDAY",40,1
"248","108","WEEKDAY",60,1
"57","108","WEEKDAY",40,1
"199","108","WEEKENDS/HOLIDAY",680,1
"103","108","WEEKENDS/HOLIDAY",60,1
"214","108","WEEKENDS/HOLIDAY",60,1
"184","108","WEEKDAY",80,1
"69","108","WEEKDAY",40,1
"53","108","WEEKDAY",20,1
"184","108","WEEKENDS/HOLIDAY",40,1
"271","108","WEEKDAY",100,1
"103","108","WEEKDAY",20,1
"108","108","WEEKENDS/HOLIDAY",1700,1
"189","108","WEEKDAY",1620,1
"77","54","WEEKDAY",108,1
"110","54","WEEKDAY",6,1
"77","54","WEEKENDS/HOLIDAY",22,1
"149","54","WEEKENDS/HOLIDAY",2,1
"109","109","WEEKENDS/HOLIDAY",120,1
"165","109","WEEKDAY",1400,1
"137","109","WEEKENDS/HOLIDAY",100,1
"57","109","WEEKENDS/HOLIDAY",160,1
"57","109","WEEKDAY",640,1
"109","109","WEEKDAY",320,1
"132","109","WEEKENDS/HOLIDAY",520,1
"148","109","WEEKDAY",60,1
"15","109","WEEKENDS/HOLIDAY",20,1
"228","109","WEEKDAY",20,1
"126","109","WEEKDAY",2,1
"137","109","WEEKDAY",2240,1
"165","109","WEEKENDS/HOLIDAY",280,1
"132","109","WEEKDAY",440,1
"181","162","WEEKDAY",80,1
"240","162","WEEKENDS/HOLIDAY",160,1
"240","162","WEEKDAY",440,1
"217","181","WEEKDAY",140,1
"217","181","WEEKENDS/HOLIDAY",80,1
"180","181","WEEKDAY",1880,1
"313","181","WEEKENDS/HOLIDAY",440,1
"218","181","WEEKENDS/HOLIDAY",400,1
"248","181","WEEKDAY",60,1
"180","181","WEEKENDS/HOLIDAY",580,1
"248","181","WEEKENDS/HOLIDAY",80,1
"131","181","WEEKENDS/HOLIDAY",100,1
"186","181","WEEKENDS/HOLIDAY",40,1
"170","181","WEEKDAY",20,1
"236","181","WEEKENDS/HOLIDAY",160,1
"273","181","WEEKENDS/HOLIDAY",40,1
"70","181","WEEKDAY",20,1
"250","181","WEEKDAY",40,1
"14","181","WEEKDAY",160,1
"250","181","WEEKENDS/HOLIDAY",40,1
"186","181","WEEKDAY",600,1
"218","181","WEEKDAY",540,1
"14","181","WEEKENDS/HOLIDAY",220,1
"313","181","WEEKDAY",320,1
"236","181","WEEKDAY",500,1
"273","181","WEEKDAY",40,1
"68","3","WEEKDAY",4,1
"53","3","WEEKENDS/HOLIDAY",162,1
"170","3","WEEKDAY",72,1
"213","3","WEEKENDS/HOLIDAY",36,1
"163","3","WEEKENDS/HOLIDAY",36,1
"163","3","WEEKDAY",198,1
"272","3","WEEKENDS/HOLIDAY",18,1
"68","3","WEEKENDS/HOLIDAY",2,1
"138","3","WEEKENDS/HOLIDAY",18,1
"138","3","WEEKDAY",18,1
"53","3","WEEKDAY",270,1
"183","3","WEEKDAY",2,1
"133","3","WEEKENDS/HOLIDAY",36,1
"96","3","WEEKENDS/HOLIDAY",18,1
"83","132","WEEKENDS/HOLIDAY",20,1
"109","132","WEEKDAY",3780,1
"164","132","WEEKDAY",20,1
"83","132","WEEKDAY",100,1
"109","132","WEEKENDS/HOLIDAY",1020,1
"130","172","WEEKENDS/HOLIDAY",40,1
"193","172","WEEKDAY",940,1
"192","172","WEEKENDS/HOLIDAY",20,1
"160","172","WEEKENDS/HOLIDAY",20,1
"192","172","WEEKDAY",1140,1
"172","172","WEEKDAY",20,1
"130","172","WEEKDAY",60,1
"116","172","WEEKDAY",60,1
"193","172","WEEKENDS/HOLIDAY",620,1
"146","172","WEEKDAY",600,1
"152","172","WEEKENDS/HOLIDAY",20,1
"161","172","WEEKDAY",20,1
"146","172","WEEKENDS/HOLIDAY",500,1
"152","172","WEEKDAY",20,1
"253","142","WEEKENDS/HOLIDAY",40,1
"186","142","WEEKENDS/HOLIDAY",20,1
"142","142","WEEKDAY",20,1
"54","142","WEEKDAY",60,1
"181","142","WEEKDAY",440,1
