X1,DAY_TYPE,TIME_PER_HOUR,TOTAL_TRIPS,BusStopCode_x,BusStopCode_y
3748,WEEKENDS/HOLIDAY,23,6,60139,7211
3749,WEEKDAY,23,32,60139,7211
3750,WEEKENDS/HOLIDAY,23,48,60139,7211
3751,WEEKDAY,23,4,60139,7211
3752,WEEKENDS/HOLIDAY,21,120,76211,76079
3753,WEEKDAY,21,40,76211,76079
3754,WEEKDAY,20,1180,52331,52501
3755,WEEKENDS/HOLIDAY,20,680,52331,52501
3756,WEEKDAY,22,120,55311,67051
3757,WEEKENDS/HOLIDAY,11,40,96289,80141
3758,WEEKDAY,11,20,96289,80141
3759,WEEKDAY,22,20,56209,59551
3760,WEEKENDS/HOLIDAY,10,80,75411,77339
3761,WEEKDAY,8,340,96169,95039
3762,WEEKENDS/HOLIDAY,8,40,96169,95039
3763,WEEKDAY,11,120,66379,70259
3764,WEEKDAY,18,180,45021,49051
3765,WEEKDAY,16,40,52509,67289
3766,WEEKDAY,15,60,12029,51091
3767,WEEKDAY,22,20,11439,10361
3768,WEEKDAY,12,260,43699,20019
3769,WEEKENDS/HOLIDAY,12,100,43699,20019
3770,WEEKDAY,22,10,65431,63059
3771,WEEKDAY,22,10,65431,63059
3772,WEEKENDS/HOLIDAY,12,40,93069,80271
3773,WEEKDAY,12,40,93069,80271
3774,WEEKDAY,9,10,92089,3059
3775,WEEKENDS/HOLIDAY,17,234,80029,7319
3776,WEEKDAY,17,396,80029,7319
3777,WEEKDAY,10,190,5049,5019
3778,WEEKENDS/HOLIDAY,10,108,5049,5019
3779,WEEKENDS/HOLIDAY,15,240,57071,59711
3780,WEEKDAY,15,180,57071,59711
3781,WEEKDAY,15,20,6039,11101
3782,WEEKENDS/HOLIDAY,9,20,76221,84481
3783,WEEKDAY,9,40,76221,84481
3784,WEEKDAY,8,1152,4239,5039
3785,WEEKENDS/HOLIDAY,8,540,4239,5039
3786,WEEKDAY,13,80,13209,10189
3787,WEEKENDS/HOLIDAY,13,100,13209,10189
3788,WEEKDAY,6,2,56059,8069
3789,WEEKDAY,11,4,42159,9037
3790,WEEKENDS/HOLIDAY,11,8,42159,9037
3791,WEEKENDS/HOLIDAY,18,20,11289,11149
3792,WEEKDAY,18,60,11289,11149
3793,WEEKDAY,12,20,53019,40239
3794,WEEKENDS/HOLIDAY,12,80,53019,40239
3795,WEEKDAY,14,20,45009,31061
3796,WEEKDAY,10,440,28591,28389
3797,WEEKENDS/HOLIDAY,10,200,28591,28389
3798,WEEKDAY,8,1120,75159,76051
3799,WEEKENDS/HOLIDAY,8,260,75159,76051
3800,WEEKDAY,19,10,21361,21161
3801,WEEKENDS/HOLIDAY,19,10,21361,21161
3802,WEEKENDS/HOLIDAY,19,10,21361,21161
3803,WEEKDAY,19,10,21361,21161
3804,WEEKDAY,13,400,63279,63131
3805,WEEKENDS/HOLIDAY,13,80,63279,63131
3806,WEEKDAY,12,200,51091,51019
3807,WEEKENDS/HOLIDAY,12,20,51091,51019
3808,WEEKENDS/HOLIDAY,13,20,13021,43009
3809,WEEKDAY,13,20,13021,43009
3810,WEEKDAY,20,20,46549,43119
3811,WEEKDAY,6,320,67191,63039
3812,WEEKENDS/HOLIDAY,6,280,67191,63039
3813,WEEKDAY,8,16,22489,3509
3814,WEEKDAY,8,2,22489,3509
3815,WEEKENDS/HOLIDAY,9,40,66331,52279
3816,WEEKDAY,9,40,66331,52279
3817,WEEKENDS/HOLIDAY,16,20,43201,43591
3818,WEEKDAY,16,40,43201,43591
3819,WEEKENDS/HOLIDAY,12,200,82029,70379
3820,WEEKDAY,12,180,82029,70379
3821,WEEKDAY,20,432,2151,2161
3822,WEEKENDS/HOLIDAY,20,108,2151,2161
3823,WEEKENDS/HOLIDAY,22,20,23371,22531
3824,WEEKDAY,22,20,23371,22531
3825,WEEKDAY,8,54500,46771,46881
3826,WEEKENDS/HOLIDAY,8,3460,46771,46881
3827,WEEKENDS/HOLIDAY,6,180,66461,65009
3828,WEEKDAY,6,340,66461,65009
3829,WEEKDAY,20,36,13121,2099
3830,WEEKENDS/HOLIDAY,20,36,13121,2099
3831,WEEKENDS/HOLIDAY,19,280,7419,84451
3832,WEEKDAY,19,760,7419,84451
3833,WEEKENDS/HOLIDAY,16,20,17121,28011
3834,WEEKENDS/HOLIDAY,10,20,46009,56039
3835,WEEKDAY,10,20,46009,56039
3836,WEEKENDS/HOLIDAY,16,80,96069,80069
3837,WEEKDAY,16,60,96069,80069
3838,WEEKDAY,19,360,65411,65399
3839,WEEKENDS/HOLIDAY,9,180,27419,22189
3840,WEEKDAY,9,620,27419,22189
3841,WEEKENDS/HOLIDAY,5,20,28239,16019
3842,WEEKENDS/HOLIDAY,10,2,15209,1113
3843,WEEKENDS/HOLIDAY,10,2,15209,1113
3844,WEEKDAY,14,20,41029,67469
3845,WEEKENDS/HOLIDAY,18,20,84049,92161
3846,WEEKDAY,18,100,84049,92161
3847,WEEKDAY,14,80,84619,70231
3848,WEEKDAY,17,500,17161,27431
3849,WEEKENDS/HOLIDAY,17,220,17161,27431
3850,WEEKENDS/HOLIDAY,14,100,76361,76059
3851,WEEKDAY,14,80,76361,76059
3852,WEEKENDS/HOLIDAY,17,80,63299,77289
3853,WEEKDAY,17,240,63299,77289
3854,WEEKDAY,8,40,12021,12051
3855,WEEKENDS/HOLIDAY,16,40,22461,27091
3856,WEEKDAY,16,100,22461,27091
3857,WEEKDAY,19,240,84059,82069
3858,WEEKENDS/HOLIDAY,19,20,84059,82069
3859,WEEKENDS/HOLIDAY,18,198,1219,4149
3860,WEEKDAY,18,396,1219,4149
3861,WEEKENDS/HOLIDAY,9,100,44029,10139
3862,WEEKDAY,9,380,44029,10139
3863,WEEKENDS/HOLIDAY,20,60,43619,42231
3864,WEEKDAY,20,180,43619,42231
3865,WEEKDAY,7,20,15151,21581
3866,WEEKENDS/HOLIDAY,7,20,15151,21581
3867,WEEKDAY,5,360,17069,14119
3868,WEEKENDS/HOLIDAY,5,40,17069,14119
3869,WEEKDAY,12,60,70171,81089
3870,WEEKENDS/HOLIDAY,12,100,70171,81089
3871,WEEKENDS/HOLIDAY,0,60,43011,43051
3872,WEEKDAY,11,280,59551,59521
3873,WEEKENDS/HOLIDAY,11,140,59551,59521
3874,WEEKENDS/HOLIDAY,13,20,10131,55011
3875,WEEKDAY,13,80,10131,55011
3876,WEEKDAY,21,36,80141,5521
3877,WEEKENDS/HOLIDAY,13,20,64131,64151
3878,WEEKDAY,13,20,64131,64151
3879,WEEKENDS/HOLIDAY,16,40,54069,50038
3880,WEEKDAY,16,180,54069,50038
3881,WEEKENDS/HOLIDAY,10,4,11061,56011
3882,WEEKDAY,7,700,54319,71161
3883,WEEKENDS/HOLIDAY,7,20,54319,71161
3884,WEEKDAY,20,220,70281,65011
3885,WEEKENDS/HOLIDAY,20,40,70281,65011
3886,WEEKDAY,14,140,93089,80049
3887,WEEKENDS/HOLIDAY,14,20,93089,80049
3888,WEEKDAY,19,100,20019,10089
3889,WEEKENDS/HOLIDAY,19,20,20019,10089
3890,WEEKDAY,19,240,21421,28069
3891,WEEKENDS/HOLIDAY,19,340,21421,28069
3892,WEEKDAY,8,40,62031,65521
3893,WEEKDAY,16,40,49111,49179
3894,WEEKENDS/HOLIDAY,8,20,54059,54329
3895,WEEKDAY,8,140,54059,54329
3896,WEEKDAY,15,2,12059,1112
3897,WEEKENDS/HOLIDAY,15,10,12059,1112
3898,WEEKENDS/HOLIDAY,18,20,17111,51101
3899,WEEKDAY,8,20,4329,14029
3900,WEEKDAY,17,20,62089,81089
3901,WEEKENDS/HOLIDAY,18,840,1112,59041
3902,WEEKDAY,18,2240,1112,59041
3903,WEEKDAY,15,20,56199,59571
3904,WEEKDAY,14,140,60029,82033
3905,WEEKENDS/HOLIDAY,17,20,52071,76289
3906,WEEKDAY,17,40,52071,76289
3907,WEEKDAY,17,40,52071,76289
3908,WEEKENDS/HOLIDAY,17,20,52071,76289
3909,WEEKDAY,10,4,52061,7369
3910,WEEKENDS/HOLIDAY,10,4,52061,7369
3911,WEEKENDS/HOLIDAY,11,280,62121,66009
3912,WEEKDAY,11,860,62121,66009
3913,WEEKENDS/HOLIDAY,17,28,63199,2051
3914,WEEKENDS/HOLIDAY,17,8,63199,2051
3915,WEEKDAY,12,19,44399,40199
3916,WEEKDAY,12,1,44399,40199
3917,WEEKENDS/HOLIDAY,9,20,25541,25631
3918,WEEKENDS/HOLIDAY,18,60,56071,59391
3919,WEEKENDS/HOLIDAY,10,20,23019,22461
3920,WEEKDAY,13,20,78109,83119
3921,WEEKDAY,10,8,16069,3031
3922,WEEKENDS/HOLIDAY,10,6,16069,3031
3923,WEEKDAY,11,20,56251,54439
3924,WEEKENDS/HOLIDAY,11,60,56251,54439
3925,WEEKDAY,9,40,84701,40129
3926,WEEKENDS/HOLIDAY,17,400,44341,44639
3927,WEEKDAY,17,540,44341,44639
3928,WEEKENDS/HOLIDAY,19,13,17061,20241
3929,WEEKENDS/HOLIDAY,19,7,17061,20241
3930,WEEKENDS/HOLIDAY,10,80,76231,98091
3931,WEEKDAY,10,200,76231,98091
3932,WEEKDAY,13,80,46009,45029
3933,WEEKENDS/HOLIDAY,13,20,46009,45029
3934,WEEKENDS/HOLIDAY,0,160,43051,46101
3935,WEEKDAY,0,40,43051,46101
3936,WEEKDAY,19,20,70011,70141
3937,WEEKDAY,23,2,60099,1129
3938,WEEKENDS/HOLIDAY,6,20,16069,80151
3939,WEEKDAY,11,90,7329,8019
3940,WEEKENDS/HOLIDAY,11,144,7329,8019
3941,WEEKENDS/HOLIDAY,12,800,43409,43189
3942,WEEKDAY,12,3100,43409,43189
3943,WEEKDAY,17,7,63351,7379
3944,WEEKDAY,17,11,63351,7379
3945,WEEKENDS/HOLIDAY,8,234,7517,6141
3946,WEEKDAY,8,558,7517,6141
3947,WEEKDAY,9,176,15229,18011
3948,WEEKDAY,9,44,15229,18011
3949,WEEKENDS/HOLIDAY,12,20,2119,18119
3950,WEEKDAY,8,6400,59119,59191
3951,WEEKENDS/HOLIDAY,8,1220,59119,59191
3952,WEEKDAY,16,20,64229,54489
3953,WEEKDAY,16,60,80111,70171
3954,WEEKENDS/HOLIDAY,16,20,80111,70171
3955,WEEKENDS/HOLIDAY,20,3640,22009,28099
3956,WEEKDAY,20,8880,22009,28099
3957,WEEKENDS/HOLIDAY,16,18,14039,4121
3958,WEEKENDS/HOLIDAY,23,20,2171,78051
3959,WEEKENDS/HOLIDAY,15,36,7359,5029
3960,WEEKENDS/HOLIDAY,22,2,2159,8111
3961,WEEKDAY,22,12,2159,8111
3962,WEEKENDS/HOLIDAY,21,40,53141,53009
3963,WEEKDAY,7,80,67071,80219
3964,WEEKENDS/HOLIDAY,9,36,6159,1311
3965,WEEKDAY,6,40,76249,76311
3966,WEEKENDS/HOLIDAY,6,30,76249,76311
3967,WEEKDAY,6,40,76249,76311
3968,WEEKENDS/HOLIDAY,6,30,76249,76311
3969,WEEKDAY,8,18,10049,9213
3970,WEEKDAY,20,20,56199,53059
3971,WEEKENDS/HOLIDAY,7,20,5023,63061
3972,WEEKENDS/HOLIDAY,17,420,67609,76149
3973,WEEKDAY,17,1120,67609,76149
3974,WEEKDAY,17,6,13041,4179
3975,WEEKDAY,6,60,59481,59199
3976,WEEKDAY,19,20,68099,67381
3977,WEEKDAY,19,40,81109,66089
3978,WEEKDAY,9,20,10329,92131
3979,WEEKENDS/HOLIDAY,16,40,9121,10199
3980,WEEKDAY,20,180,76281,72069
3981,WEEKENDS/HOLIDAY,20,80,76281,72069
3982,WEEKDAY,22,20,64331,63059
3983,WEEKDAY,22,20,64331,63059
3984,WEEKENDS/HOLIDAY,22,10,64331,63059
3985,WEEKENDS/HOLIDAY,22,10,64331,63059
3986,WEEKENDS/HOLIDAY,7,20,70149,12089
3987,WEEKDAY,22,60,21229,21199
3988,WEEKENDS/HOLIDAY,22,200,21229,21199
3989,WEEKENDS/HOLIDAY,7,40,52009,84011
3990,WEEKDAY,7,80,52009,84011
3991,WEEKENDS/HOLIDAY,18,13,46291,43419
3992,WEEKDAY,18,13,46291,43419
3993,WEEKENDS/HOLIDAY,18,7,46291,43419
3994,WEEKDAY,18,7,46291,43419
3995,WEEKENDS/HOLIDAY,20,60,7371,60059
3996,WEEKDAY,20,20,7371,60059
3997,WEEKDAY,11,20,9169,66391
3998,WEEKDAY,7,20,90061,80091
3999,WEEKENDS/HOLIDAY,7,20,90061,80091
4000,WEEKDAY,19,6,52129,7529
4001,WEEKENDS/HOLIDAY,19,16,52129,7529
4002,WEEKENDS/HOLIDAY,18,80,82171,83081
4003,WEEKDAY,18,60,82171,83081
4004,WEEKDAY,16,20,11071,66081
4005,WEEKDAY,14,80,53391,65031
4006,WEEKDAY,22,280,76131,76161
4007,WEEKENDS/HOLIDAY,22,220,76131,76161
4008,WEEKDAY,7,20,14129,82011
4009,WEEKENDS/HOLIDAY,7,40,14129,82011
4010,WEEKDAY,18,120,63321,92279
4011,WEEKDAY,16,20,70129,41041
4012,WEEKENDS/HOLIDAY,9,60,22009,22039
4013,WEEKDAY,9,140,22009,22039
4014,WEEKENDS/HOLIDAY,15,1600,82032,75009
4015,WEEKDAY,15,2280,82032,75009
4016,WEEKDAY,16,80,55041,83081
4017,WEEKDAY,21,40,18129,10099
4018,WEEKDAY,15,40,1013,40071
4019,WEEKENDS/HOLIDAY,19,120,60161,55089
4020,WEEKDAY,19,460,60161,55089
4021,WEEKDAY,5,20,21589,21149
4022,WEEKDAY,5,600,52109,50211
4023,WEEKENDS/HOLIDAY,5,300,52109,50211
4024,WEEKDAY,11,20,52099,10249
4025,WEEKDAY,10,126,85069,1119
4026,WEEKENDS/HOLIDAY,10,108,85069,1119
4027,WEEKDAY,11,4,50209,4179
4028,WEEKDAY,20,80,10131,18071
4029,WEEKENDS/HOLIDAY,20,140,10131,18071
4030,WEEKENDS/HOLIDAY,19,18,11361,2111
4031,WEEKENDS/HOLIDAY,8,500,48141,59119
4032,WEEKDAY,8,1040,48141,59119
4033,WEEKDAY,20,40,15041,16091
4034,WEEKDAY,17,40,67171,70299
4035,WEEKDAY,11,72,14159,4222
4036,WEEKENDS/HOLIDAY,11,54,14159,4222
4037,WEEKENDS/HOLIDAY,9,20,17149,16149
4038,WEEKDAY,9,60,17149,16149
4039,WEEKDAY,10,60,51059,50231
4040,WEEKDAY,11,18,6071,9059
4041,WEEKDAY,19,980,64071,54248
4042,WEEKENDS/HOLIDAY,19,420,64071,54248
4043,WEEKDAY,18,80,59059,76249
4044,WEEKENDS/HOLIDAY,9,14,9048,2051
4045,WEEKENDS/HOLIDAY,9,4,9048,2051
4046,WEEKDAY,19,120,76031,98051
4047,WEEKENDS/HOLIDAY,19,400,76031,98051
4048,WEEKENDS/HOLIDAY,14,40,62131,71081
4049,WEEKDAY,14,240,62131,71081
4050,WEEKDAY,14,80,29021,20129
4051,WEEKENDS/HOLIDAY,14,20,29021,20129
4052,WEEKDAY,13,80,77129,77019
4053,WEEKDAY,21,66,14391,5022
4054,WEEKDAY,21,42,14391,5022
4055,WEEKENDS/HOLIDAY,21,11,14391,5022
4056,WEEKENDS/HOLIDAY,21,7,14391,5022
4057,WEEKENDS/HOLIDAY,6,220,5013,80071
4058,WEEKDAY,6,640,5013,80071
4059,WEEKENDS/HOLIDAY,11,20,44211,11209
4060,WEEKDAY,18,180,93069,81081
4061,WEEKDAY,10,54,3222,9011
4062,WEEKENDS/HOLIDAY,10,18,3222,9011
4063,WEEKDAY,18,20,2051,45051
4064,WEEKENDS/HOLIDAY,18,20,85019,82071
4065,WEEKDAY,18,180,85019,82071
4066,WEEKENDS/HOLIDAY,17,40,62111,54321
4067,WEEKDAY,19,8,53221,5039
4068,WEEKENDS/HOLIDAY,19,6,53221,5039
4069,WEEKDAY,15,40,14169,10069
4070,WEEKENDS/HOLIDAY,23,100,92061,93139
4071,WEEKDAY,22,120,3011,75009
4072,WEEKENDS/HOLIDAY,22,100,3011,75009
4073,WEEKDAY,18,480,54181,55129
4074,WEEKENDS/HOLIDAY,18,120,54181,55129
4075,WEEKENDS/HOLIDAY,6,2,80089,5199
4076,WEEKDAY,6,6,80089,5199
4077,WEEKENDS/HOLIDAY,17,20,7419,76051
4078,WEEKDAY,17,140,7419,76051
4079,WEEKDAY,12,100,99009,84059
4080,WEEKENDS/HOLIDAY,12,140,99009,84059
4081,WEEKENDS/HOLIDAY,7,20,60089,59051
4082,WEEKDAY,7,200,60089,59051
4083,WEEKDAY,1,20,14519,67409
4084,WEEKDAY,18,60,54181,54621
4085,WEEKENDS/HOLIDAY,18,60,54181,54621
4086,WEEKDAY,23,80,50189,80071
4087,WEEKENDS/HOLIDAY,22,146,9047,8069
4088,WEEKDAY,22,328,9047,8069
4089,WEEKENDS/HOLIDAY,17,20,76559,76089
4090,WEEKDAY,5,20,76101,95209
4091,WEEKDAY,7,100,64469,99021
4092,WEEKDAY,7,160,76231,64209
4093,WEEKDAY,8,40,95161,95191
4094,WEEKENDS/HOLIDAY,5,2,72029,7517
4095,WEEKDAY,19,40,44399,44159
4096,WEEKDAY,18,300,61021,53239
4097,WEEKENDS/HOLIDAY,18,100,61021,53239
4098,WEEKENDS/HOLIDAY,17,560,76109,85099
4099,WEEKDAY,17,1040,76109,85099
4100,WEEKDAY,16,260,45309,45359
4101,WEEKENDS/HOLIDAY,16,60,45309,45359
4102,WEEKDAY,17,420,55159,56251
4103,WEEKENDS/HOLIDAY,17,80,55159,56251
4104,WEEKENDS/HOLIDAY,14,20,59251,59109
4105,WEEKENDS/HOLIDAY,17,20,95049,99029
4106,WEEKDAY,17,60,60051,50211
