"from","to","DAY_TYPE","weight","category"
"68","163","WEEKENDS/HOLIDAY",20,1
"133","163","WEEKENDS/HOLIDAY",120,1
"180","163","WEEKDAY",2660,1
"190","163","WEEKDAY",260,1
"243","163","WEEKDAY",20,1
"83","163","WEEKDAY",1520,1
"58","163","WEEKENDS/HOLIDAY",220,1
"168","163","WEEKDAY",20,1
"24","163","WEEKENDS/HOLIDAY",120,1
"135","163","WEEKENDS/HOLIDAY",40,1
"99","163","WEEKENDS/HOLIDAY",300,1
"6","163","WEEKENDS/HOLIDAY",20,1
"55","163","WEEKDAY",100,1
"40","163","WEEKENDS/HOLIDAY",20,1
"170","163","WEEKDAY",1240,1
"32","163","WEEKDAY",240,1
"34","163","WEEKDAY",1140,1
"212","163","WEEKENDS/HOLIDAY",20,1
"24","163","WEEKDAY",260,1
"199","163","WEEKENDS/HOLIDAY",320,1
"49","163","WEEKDAY",220,1
"262","163","WEEKDAY",40,1
"262","163","WEEKENDS/HOLIDAY",40,1
"27","163","WEEKDAY",380,1
"48","163","WEEKDAY",20,1
"8","163","WEEKENDS/HOLIDAY",220,1
"68","163","WEEKDAY",100,1
"133","163","WEEKDAY",200,1
"180","163","WEEKENDS/HOLIDAY",1720,1
"157","163","WEEKDAY",15120,1
"220","163","WEEKDAY",20,1
"279","163","WEEKENDS/HOLIDAY",40,1
"32","163","WEEKENDS/HOLIDAY",180,1
"221","163","WEEKENDS/HOLIDAY",80,1
"228","163","WEEKENDS/HOLIDAY",20,1
"100","163","WEEKENDS/HOLIDAY",420,1
"49","163","WEEKENDS/HOLIDAY",240,1
"197","163","WEEKENDS/HOLIDAY",3520,1
"213","163","WEEKENDS/HOLIDAY",80,1
"184","163","WEEKENDS/HOLIDAY",240,1
"142","163","WEEKENDS/HOLIDAY",60,1
"8","163","WEEKDAY",300,1
"132","163","WEEKDAY",11940,1
"107","163","WEEKDAY",20,1
"95","163","WEEKENDS/HOLIDAY",120,1
"213","163","WEEKDAY",60,1
"11","211","WEEKENDS/HOLIDAY",20,1
"10","211","WEEKDAY",80,1
"173","211","WEEKENDS/HOLIDAY",2540,1
"11","211","WEEKDAY",120,1
"187","211","WEEKDAY",20,1
"220","211","WEEKDAY",140,1
"281","211","WEEKDAY",20,1
"212","211","WEEKDAY",80,1
"170","211","WEEKENDS/HOLIDAY",100,1
"172","211","WEEKDAY",100,1
"63","211","WEEKDAY",20,1
"151","211","WEEKDAY",380,1
"119","211","WEEKDAY",380,1
"249","211","WEEKENDS/HOLIDAY",40,1
"211","211","WEEKDAY",1020,1
"211","211","WEEKENDS/HOLIDAY",400,1
"170","211","WEEKDAY",20,1
"67","211","WEEKDAY",40,1
"64","211","WEEKDAY",680,1
"196","211","WEEKDAY",20,1
"130","211","WEEKENDS/HOLIDAY",60,1
"60","211","WEEKENDS/HOLIDAY",20,1
"255","211","WEEKDAY",120,1
"173","211","WEEKDAY",8820,1
"88","211","WEEKDAY",440,1
"134","211","WEEKENDS/HOLIDAY",20,1
"72","211","WEEKENDS/HOLIDAY",60,1
"119","211","WEEKENDS/HOLIDAY",460,1
"116","211","WEEKDAY",20,1
"163","211","WEEKENDS/HOLIDAY",60,1
"212","211","WEEKENDS/HOLIDAY",100,1
"90","211","WEEKDAY",220,1
"30","211","WEEKDAY",20,1
"88","211","WEEKENDS/HOLIDAY",160,1
"137","211","WEEKDAY",20,1
"219","211","WEEKENDS/HOLIDAY",20,1
"90","211","WEEKENDS/HOLIDAY",40,1
"186","211","WEEKDAY",40,1
"175","211","WEEKDAY",120,1
"186","211","WEEKENDS/HOLIDAY",100,1
"67","211","WEEKENDS/HOLIDAY",80,1
"160","211","WEEKDAY",120,1
"163","211","WEEKDAY",40,1
"147","211","WEEKDAY",140,1
"151","211","WEEKENDS/HOLIDAY",100,1
"175","211","WEEKENDS/HOLIDAY",20,1
"227","273","WEEKDAY",1040,1
"226","273","WEEKDAY",200,1
"227","273","WEEKENDS/HOLIDAY",100,1
"314","273","WEEKDAY",20,1
"262","273","WEEKDAY",160,1
"239","273","WEEKDAY",200,1
"273","273","WEEKENDS/HOLIDAY",100,1
"186","273","WEEKENDS/HOLIDAY",20,1
"269","273","WEEKENDS/HOLIDAY",120,1
"218","273","WEEKDAY",40,1
"239","273","WEEKENDS/HOLIDAY",20,1
"269","273","WEEKDAY",260,1
"272","273","WEEKENDS/HOLIDAY",360,1
"260","273","WEEKENDS/HOLIDAY",1240,1
"260","273","WEEKDAY",4320,1
"262","273","WEEKENDS/HOLIDAY",180,1
"236","273","WEEKDAY",120,1
"272","273","WEEKDAY",2500,1
"226","273","WEEKENDS/HOLIDAY",200,1
"225","273","WEEKDAY",20,1
"273","273","WEEKDAY",2620,1
"230","249","WEEKENDS/HOLIDAY",200,1
"109","249","WEEKENDS/HOLIDAY",40,1
"109","249","WEEKDAY",40,1
"249","249","WEEKDAY",160,1
"313","249","WEEKENDS/HOLIDAY",1220,1
"103","249","WEEKENDS/HOLIDAY",160,1
"313","249","WEEKDAY",2320,1
"311","249","WEEKENDS/HOLIDAY",20,1
"250","249","WEEKENDS/HOLIDAY",100,1
"275","249","WEEKDAY",240,1
"155","249","WEEKDAY",140,1
"186","249","WEEKENDS/HOLIDAY",140,1
"321","249","WEEKDAY",40,1
"318","249","WEEKDAY",20,1
"249","249","WEEKENDS/HOLIDAY",60,1
"186","249","WEEKDAY",160,1
"103","249","WEEKDAY",360,1
"311","249","WEEKDAY",40,1
"293","249","WEEKDAY",20,1
"182","249","WEEKDAY",20,1
"108","249","WEEKDAY",200,1
"182","249","WEEKENDS/HOLIDAY",20,1
"275","249","WEEKENDS/HOLIDAY",80,1
"317","249","WEEKDAY",100,1
"46","249","WEEKDAY",40,1
"279","249","WEEKENDS/HOLIDAY",40,1
"108","249","WEEKENDS/HOLIDAY",120,1
"230","249","WEEKDAY",100,1
"250","249","WEEKDAY",260,1
"317","249","WEEKENDS/HOLIDAY",40,1
"63","22","WEEKDAY",108,1
"58","22","WEEKENDS/HOLIDAY",558,1
"2","22","WEEKDAY",108,1
"58","22","WEEKDAY",1188,1
"4","22","WEEKDAY",216,1
"272","22","WEEKENDS/HOLIDAY",18,1
"129","22","WEEKDAY",16,1
"4","22","WEEKENDS/HOLIDAY",36,1
"63","22","WEEKENDS/HOLIDAY",18,1
"6","22","WEEKDAY",90,1
"2","22","WEEKENDS/HOLIDAY",54,1
"136","22","WEEKDAY",4,1
"272","22","WEEKDAY",18,1
"6","22","WEEKENDS/HOLIDAY",36,1
"52","22","WEEKDAY",36,1
"126","110","WEEKENDS/HOLIDAY",280,1
"35","110","WEEKDAY",20,1
"230","110","WEEKENDS/HOLIDAY",60,1
"148","110","WEEKDAY",1500,1
"24","110","WEEKENDS/HOLIDAY",20,1
"133","110","WEEKDAY",60,1
"162","110","WEEKDAY",220,1
"53","110","WEEKDAY",280,1
"182","110","WEEKENDS/HOLIDAY",20,1
"87","110","WEEKDAY",20,1
"176","110","WEEKENDS/HOLIDAY",20,1
"101","110","WEEKDAY",80,1
"107","110","WEEKENDS/HOLIDAY",20,1
"149","110","WEEKENDS/HOLIDAY",20,1
"200","110","WEEKDAY",1040,1
"25","110","WEEKDAY",20,1
"83","110","WEEKENDS/HOLIDAY",360,1
"101","110","WEEKENDS/HOLIDAY",20,1
"110","110","WEEKENDS/HOLIDAY",2120,1
"36","110","WEEKDAY",40,1
"59","110","WEEKENDS/HOLIDAY",60,1
"236","110","WEEKENDS/HOLIDAY",300,1
"291","110","WEEKENDS/HOLIDAY",220,1
"149","110","WEEKDAY",40,1
"197","110","WEEKENDS/HOLIDAY",320,1
"47","110","WEEKENDS/HOLIDAY",40,1
"2","110","WEEKDAY",20,1
"163","110","WEEKDAY",40,1
"126","110","WEEKDAY",520,1
"309","110","WEEKENDS/HOLIDAY",200,1
"87","110","WEEKENDS/HOLIDAY",20,1
"24","110","WEEKDAY",280,1
"153","110","WEEKENDS/HOLIDAY",20,1
"189","110","WEEKENDS/HOLIDAY",60,1
"83","110","WEEKDAY",400,1
"120","110","WEEKDAY",80,1
"170","110","WEEKDAY",20,1
"153","110","WEEKDAY",20,1
"236","110","WEEKDAY",460,1
"25","110","WEEKENDS/HOLIDAY",20,1
"189","110","WEEKDAY",440,1
"291","110","WEEKDAY",280,1
"131","110","WEEKENDS/HOLIDAY",20,1
"309","110","WEEKDAY",80,1
"49","110","WEEKENDS/HOLIDAY",100,1
"131","110","WEEKDAY",20,1
"110","110","WEEKDAY",4840,1
"118","110","WEEKENDS/HOLIDAY",20,1
"59","110","WEEKDAY",120,1
"118","110","WEEKDAY",360,1
"120","110","WEEKENDS/HOLIDAY",60,1
"119","110","WEEKENDS/HOLIDAY",20,1
"49","110","WEEKDAY",160,1
"308","110","WEEKENDS/HOLIDAY",40,1
"308","110","WEEKDAY",20,1
"133","110","WEEKENDS/HOLIDAY",40,1
"197","110","WEEKDAY",1100,1
"230","110","WEEKDAY",140,1
