"id","name","district","x","y","weight"
"248","CHENG SAN","North-East Region",30312.1923,39413.3478,21
"249","ANG MO KIO TOWN CENTRE","North-East Region",29501.7659,39419.4049,8
"250","KEBUN BAHRU","North-East Region",28700.1674,39496.5061,16
"251","SERANGOON NORTH IND ESTATE","North-East Region",31498.8784,39642.2223,16
"252","TENGAH","West Region",16363.1893,38432.5474,23
"253","SERANGOON NORTH","North-East Region",32458.8031,39597.6401,16
"254","PASIR RIS CENTRAL","East Region",40755.9017,39341.7477,26
"255","GOMBAK","West Region",19560.7028,39034.544,13
"256","PLAB","East Region",36691.9113,37730.7232,13
"257","KRANJI","North Region",19766.8432,46226.3545,23
"258","PASIR RIS PARK","East Region",41529.798,40218.9437,14
"259","CHOA CHU KANG NORTH","West Region",18347.5682,41593.7648,21
"260","RIVERVALE","North-East Region",35977.6113,41060.8024,34
"261","SENGKANG WEST","North-East Region",31319.9431,41936.6786,4
"262","FERNVALE","North-East Region",32806.2915,41896.3685,30
"263","PUNGGOL FIELD","North-East Region",36673.8994,41847.0902,19
"264","YEW TEE","West Region",18498.1139,42506.0743,19
"265","PASIR RIS WAFER FAB PARK","East Region",38612.4965,41196.6819,3
"266","MATILDA","North-East Region",35089.9853,42728.2745,27
"267","WATERWAY EAST","North-East Region",37063.2238,42568.2237,22
"268","GALI BATU","North Region",20165.0687,42429.2408,25
"269","CHANGI AIRPORT","East Region",46661.849,36599.8158,39
"270","YIO CHU KANG NORTH","North-East Region",29505.9877,41733.4401,8
"271","CHANGI POINT","East Region",44603.6326,41360.4186,17
"272","SENGKANG TOWN CENTRE","North-East Region",35163.812,41501.1418,35
"273","ANCHORVALE","North-East Region",34218.5354,41815.316,32
"275","YISHUN SOUTH","North Region",28500.5467,44471.6735,26
"276","LOWER SELETAR","North Region",29437.6195,43432.0454,20
"277","NORTHSHORE","North-East Region",36169.5574,44222.7655,7
"278","MANDAI ESTATE","North Region",27082.698,45367.4603,2
"279","YISHUN CENTRAL","North Region",28483.0705,45383.3344,13
"281","TURF CLUB","North Region",20234.6006,44507.1901,14
"282","WOODLANDS SOUTH","North Region",23609.573,45692.8785,29
"283","WOODGROVE","North Region",21905.2849,45668.0411,24
"284","YISHUN EAST","North Region",29476.5995,45515.7196,28
"285","WESTERN WATER CATCHMENT","West Region",12020.342,40454.871,92
"287","YISHUN WEST","North Region",27743.2668,45873.6006,34
"288","WOODLANDS REGIONAL CENTRE","North Region",22571.2094,46698.8735,9
"289","RESERVOIR VIEW","North Region",18367.171,45940.4868,17
"290","WOODLANDS EAST","North Region",24506.6375,46991.63,49
"291","SEMBAWANG CENTRAL","North Region",26268.7326,47558.0804,26
"292","GREENWOOD PARK","North Region",22608.3894,47660.0645,7
"293","SEMBAWANG EAST","North Region",27788.9403,47682.832,11
"294","SENOKO WEST","North Region",23921.5512,48088.741,8
"296","ADMIRALTY","North Region",27091.2755,48333.8005,20
"297","LIM CHU KANG","North Region",15309.8168,45819.0414,29
"299","SENOKO SOUTH","North Region",25130.655,48346.0326,16
"300","SEMBAWANG NORTH","North Region",26038.8084,48732.9057,21
"303","MANDAI EAST","North Region",25739.2736,45391.7648,5
"305","NORTHLAND","North Region",28520.5814,46642.7243,18
"306","MIDVIEW","North Region",23349.76,46841.1143,25
"307","WOODLANDS WEST","North Region",21582.5903,46573.0249,36
"308","SEMBAWANG SPRINGS","North Region",27076.8118,46959.0886,9
"309","SPRINGLEAF","North Region",26969.7232,42586.216,8
"310","PUNGGOL TOWN CENTRE","North-East Region",35602.3777,43427.511,18
"311","NEE SOON","North Region",25921.7245,43261.5225,12
"313","CENTRAL WATER CATCHMENT","North Region",24424.4183,39849.0456,20
"314","SELETAR","North-East Region",33371.5499,43425.0895,7
"315","PANG SUA","North Region",18535.5677,43826.0836,10
"316","SELETAR AEROSPACE PARK","North-East Region",31690.73,43796.9117,16
"317","KHATIB","North Region",27480.6357,44420.6884,13
"318","MANDAI WEST","North Region",22549.0736,44455.8474,6
"320","NORTH COAST","North Region",22147.036,48031.5522,18
"321","SEMBAWANG STRAITS","North Region",28352.4774,48918.2749,9
"322","THE WHARVES","North Region",26945.068,49552.7904,3
"323","SENOKO NORTH","North Region",24665.7878,49482.5953,22
