,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,BusStopCode_x,RoadName_Origin,Description_Origin,Planning_Area_Origin,Latitude_Origin,Longitude_Origin,BusStopCode_y,RoadName_Destination,Description_Destination,Planning_Area_Destination,Latitude_Destination,Longitude_Destination
5987,2020-01,WEEKDAY,18,BUS,5631,10081,1100,5631.0,Cantonment Link,Blk 16,BUKIT MERAH,1.27346055934188,103.84034718190607,10081.0,Jln Bt Merah,Opp Blk 120,BUKIT MERAH,1.2822783541702,103.82241744338572
5988,2020-01,WEEKENDS/HOLIDAY,14,BUS,56021,67289,20,56021.0,Upp Thomson Rd,Opp Sembawang Hills Fc,ANG MO KIO,1.37242858974896,103.82842917358784,67289.0,Fernvale Lane,Opp Blk 405C,SENGKANG,1.38966431065207,103.8732873820409
5989,2020-01,WEEKDAY,14,BUS,56021,67289,100,56021.0,Upp Thomson Rd,Opp Sembawang Hills Fc,ANG MO KIO,1.37242858974896,103.82842917358784,67289.0,Fernvale Lane,Opp Blk 405C,SENGKANG,1.38966431065207,103.8732873820409
5990,2020-01,WEEKDAY,22,BUS,3151,40101,20,3151.0,Cecil St,Opp GB Bldg,DOWNTOWN CORE,1.27892124625262,103.84776234627121,40101.0,Kg Java Rd,KK Women & Child Hosp,KALLANG,1.31036186651665,103.84779148902443
5991,2020-01,WEEKDAY,22,BUS,70119,1329,2,70119.0,MacPherson Rd,Cencon Bldg,GEYLANG,1.33075033509776,103.8777335022986,1329.0,Nth Bridge Rd,Blk 8,KALLANG,1.30495670239172,103.86363028484124
5992,2020-01,WEEKENDS/HOLIDAY,16,BUS,70039,81089,2880,70039.0,Aljunied Rd,Aljunied Pk,GEYLANG,1.32930256265165,103.87975573742912,81089.0,Aljunied Rd,Aljunied Stn,GEYLANG,1.31628194302502,103.88202243551632
5993,2020-01,WEEKDAY,16,BUS,70039,81089,6480,70039.0,Aljunied Rd,Aljunied Pk,GEYLANG,1.32930256265165,103.87975573742912,81089.0,Aljunied Rd,Aljunied Stn,GEYLANG,1.31628194302502,103.88202243551632
5994,2020-01,WEEKDAY,9,BUS,92041,84489,10,92041.0,Marine Parade Rd,Opp Parkway Parade,MARINE PARADE,1.30327282994495,103.90583013375222,84489.0,Bedok Reservoir Rd,Opp Bedok Ind Pk C,BEDOK,1.33804722197723,103.91618833296936
5995,2020-01,WEEKDAY,9,BUS,92041,84489,10,92041.0,Marine Parade Rd,Opp Parkway Parade,MARINE PARADE,1.30327282994495,103.90583013375222,84489.0,Bedok Reservoir Rd,Opp Bedok Ind Pk C,BEDOK,1.33804722197723,103.91618833296936
5996,2020-01,WEEKENDS/HOLIDAY,9,BUS,92041,84489,10,92041.0,Marine Parade Rd,Opp Parkway Parade,MARINE PARADE,1.30327282994495,103.90583013375222,84489.0,Bedok Reservoir Rd,Opp Bedok Ind Pk C,BEDOK,1.33804722197723,103.91618833296936
5997,2020-01,WEEKENDS/HOLIDAY,9,BUS,92041,84489,10,92041.0,Marine Parade Rd,Opp Parkway Parade,MARINE PARADE,1.30327282994495,103.90583013375222,84489.0,Bedok Reservoir Rd,Opp Bedok Ind Pk C,BEDOK,1.33804722197723,103.91618833296936
5998,2020-01,WEEKENDS/HOLIDAY,7,BUS,82029,82109,100,82029.0,Geylang Rd,Blk 14 Mkt/FC,GEYLANG,1.31569833821527,103.89559528546465,82109.0,Geylang Rd,City Plaza,GEYLANG,1.3151892235607,103.8933177448138
5999,2020-01,WEEKDAY,7,BUS,82029,82109,560,82029.0,Geylang Rd,Blk 14 Mkt/FC,GEYLANG,1.31569833821527,103.89559528546465,82109.0,Geylang Rd,City Plaza,GEYLANG,1.3151892235607,103.8933177448138
6000,2020-01,WEEKDAY,17,BUS,75159,76259,120,75159.0,Tampines Ave 8,Blk 874,TAMPINES,1.3540511520672398,103.93146643451306,76259.0,Tampines St 45,Opp Blk 487B,TAMPINES,1.3596701584611397,103.95842446373794
6001,2020-01,WEEKENDS/HOLIDAY,8,BUS,21579,21779,40,21579.0,Corporation Dr,Jurong Sec Sch,JURONG WEST,1.3301347227905702,103.72318086110512,21779.0,Yung Ho Rd,Aft Yuan Ching Rd,JURONG WEST,1.32643572160288,103.72425774502392
6002,2020-01,WEEKDAY,8,BUS,21579,21779,60,21579.0,Corporation Dr,Jurong Sec Sch,JURONG WEST,1.3301347227905702,103.72318086110512,21779.0,Yung Ho Rd,Aft Yuan Ching Rd,JURONG WEST,1.32643572160288,103.72425774502392
6003,2020-01,WEEKENDS/HOLIDAY,14,BUS,82049,70031,80,82049.0,Changi Rd,Joo Chiat Cplx,GEYLANG,1.3163417054851398,103.89891621295055,70031.0,Aljunied Rd,Opp Aljunied Pk,GEYLANG,1.3292670732562,103.87941087761013
6004,2020-01,WEEKDAY,14,BUS,82049,70031,100,82049.0,Changi Rd,Joo Chiat Cplx,GEYLANG,1.3163417054851398,103.89891621295055,70031.0,Aljunied Rd,Opp Aljunied Pk,GEYLANG,1.3292670732562,103.87941087761013
