Row Labels,,,
Ang Mo Kio,,,
Leedon Park,"'Leedon Park', ",,
Ridout,"'Ridout', ",,
Swiss Club,"'Swiss Club', ",,
Tyersall,"'Tyersall', ",,
Ulu Pandan,"'Ulu Pandan', ",,
Changi,"'Changi', ",,
Changi Airport,"'Changi Airport', ",,"'Changi Airport', 'Changi Point', 'Changi West', 'Flora Drive', 'Loyang East', "
Changi Point,"'Changi Point', ",,
Changi West,"'Changi West', ",,
Flora Drive,"'Flora Drive', ",,
Loyang East,"'Loyang East', ",,
Choa Chu Kang,"'Choa Chu Kang', ",,
Choa Chu Kang Central,"'Choa Chu Kang Central', ",,"'Choa Chu Kang Central', 'Choa Chu Kang North', 'Keat Hong', 'Peng Siang', 'Senja', 'Teck Whye', 'Yew Tee', "
Choa Chu Kang North,"'Choa Chu Kang North', ",,
Keat Hong,"'Keat Hong', ",,
Peng Siang,"'Peng Siang', ",,
Senja,"'Senja', ",,
Teck Whye,"'Teck Whye', ",,
Yew Tee,"'Yew Tee', ",,
Clementi,"'Clementi', ",,
Clementi Central,"'Clementi Central', ",,"'Clementi Central', 'Clementi North', 'Clementi West', 'Clementi Woods', 'Faber', 'Pandan', 'Port', 'Sunset Way', 'Toh Tuck', 'West Coast', "
Clementi North,"'Clementi North', ",,
Clementi West,"'Clementi West', ",,
Clementi Woods,"'Clementi Woods', ",,
Faber,"'Faber', ",,
Pandan,"'Pandan', ",,
Port,"'Port', ",,
Sunset Way,"'Sunset Way', ",,
Toh Tuck,"'Toh Tuck', ",,
West Coast,"'West Coast', ",,
Downtown Core,"'Downtown Core', ",,
Anson,"'Anson', ",,"'Anson', 'Bayfront Subzone', 'Bras Basah', 'Bugis', 'Cecil', 'Central Subzone', 'City Hall', 'Clifford Pier', 'Fort Canning', 'Marina Centre', 'Maxwell', 'Phillip', 'Raffles Place', 'Tanjong Pagar', 'Victoria', "
Bayfront Subzone,"'Bayfront Subzone', ",,
Bras Basah,"'Bras Basah', ",,
Bugis,"'Bugis', ",,
Cecil,"'Cecil', ",,
Central Subzone,"'Central Subzone', ",,
City Hall,"'City Hall', ",,
Clifford Pier,"'Clifford Pier', ",,
Fort Canning,"'Fort Canning', ",,
Marina Centre,"'Marina Centre', ",,
Maxwell,"'Maxwell', ",,
Phillip,"'Phillip', ",,
Raffles Place,"'Raffles Place', ",,
Tanjong Pagar,"'Tanjong Pagar', ",,
Victoria,"'Victoria', ",,
Geylang,"'Geylang', ",,
Aljunied,"'Aljunied', ",,"'Aljunied', 'Geylang Bahru', 'Geylang East', 'Kaki Bukit', 'Kallang Way', 'Kampong Bugis', 'Kampong Ubi', 'Kembangan', 'Macpherson', 'Tai Seng', "
Geylang Bahru,"'Geylang Bahru', ",,
Geylang East,"'Geylang East', ",,
Kaki Bukit,"'Kaki Bukit', ",,
Kallang Way,"'Kallang Way', ",,
Kampong Bugis,"'Kampong Bugis', ",,
Kampong Ubi,"'Kampong Ubi', ",,
Kembangan,"'Kembangan', ",,
Macpherson,"'Macpherson', ",,
Tai Seng,"'Tai Seng', ",,
Hougang,"'Hougang', ",,
Defu Industrial Park,"'Defu Industrial Park', ",,"'Defu Industrial Park', 'Hougang Central', 'Hougang East', 'Hougang West', 'Kampong Ubi', 'Kangkar', 'Kovan', 'Lorong Ah Soo', 'Lorong Halus', 'Plab', 'Seletar Hills', 'Serangoon Central', 'Serangoon Garden', 'Serangoon North', 'Tai Seng', 'Trafalgar', 'Upper Paya Lebar', "
Hougang Central,"'Hougang Central', ",,
Hougang East,"'Hougang East', ",,
Hougang West,"'Hougang West', ",,
Kampong Ubi,"'Kampong Ubi', ",,
Kangkar,"'Kangkar', ",,
Kovan,"'Kovan', ",,
Lorong Ah Soo,"'Lorong Ah Soo', ",,
Lorong Halus,"'Lorong Halus', ",,
Plab,"'Plab', ",,
Seletar Hills,"'Seletar Hills', ",,
Serangoon Central,"'Serangoon Central', ",,
Serangoon Garden,"'Serangoon Garden', ",,
