"BusStopCode","planning_area","Longitude","Latitude","subzone_name","district"
3239,"DOWNTOWN CORE",103.8475672,1.27464227,"Central Subzone","CENTRAL REGION"
3241,"DOWNTOWN CORE",103.84537,1.27456,"Tanjong Pagar","CENTRAL REGION"
3331,"MARINA SOUTH",103.8607681,1.276633072,"Marina South","CENTRAL REGION"
3339,"STRAITS VIEW",103.8595002,1.274985164,"Straits View","CENTRAL REGION"
3341,"MARINA SOUTH",103.8643377,1.2795978,"Marina South","CENTRAL REGION"
3349,"MARINA SOUTH",103.8647781,1.279656006,"Marina South","CENTRAL REGION"
3369,"MARINA SOUTH",103.8698745,1.279607721,"Marina South","CENTRAL REGION"
3371,"MARINA SOUTH",103.8662696,1.280664793,"Marina South","CENTRAL REGION"
3381,"DOWNTOWN CORE",103.8530651,1.281626013,"Central Subzone","CENTRAL REGION"
3391,"DOWNTOWN CORE",103.8549801,1.280376603,"Central Subzone","CENTRAL REGION"
3411,"STRAITS VIEW",103.863009,1.271592999,"Straits View","CENTRAL REGION"
3419,"STRAITS VIEW",103.8629769,1.271276985,"Straits View","CENTRAL REGION"
3421,"invalid",103.8596478,1.266940903,"Straits View","CENTRAL REGION"
3501,"DOWNTOWN CORE",103.8606111,1.285004677,"Bayfront Subzone","CENTRAL REGION"
3509,"DOWNTOWN CORE",103.8600439,1.28315,"Bayfront Subzone","CENTRAL REGION"
3511,"DOWNTOWN CORE",103.8589706,1.281947795,"Bayfront Subzone","CENTRAL REGION"
3519,"DOWNTOWN CORE",103.858848,1.281245,"Bayfront Subzone","CENTRAL REGION"
3529,"DOWNTOWN CORE",103.8527877,1.279399574,"Central Subzone","CENTRAL REGION"
3539,"DOWNTOWN CORE",103.8556161,1.277533055,"Central Subzone","CENTRAL REGION"
4019,"MUSEUM",103.8497561,1.298072169,"Bras Basah","CENTRAL REGION"
4029,"ROCHOR",103.8509267,1.299481667,"Victoria","CENTRAL REGION"
4111,"DOWNTOWN CORE",103.851391,1.293954442,"City Hall","CENTRAL REGION"
4121,"MUSEUM",103.8495803,1.296185441,"Bras Basah","CENTRAL REGION"
4142,"DOWNTOWN CORE",103.8496599,1.293098264,"Bras Basah","CENTRAL REGION"
4143,"MUSEUM",103.8502061,1.294116408,"Bras Basah","CENTRAL REGION"
4149,"DOWNTOWN CORE",103.8498374,1.292761324,"City Hall","CENTRAL REGION"
4151,"MUSEUM",103.8511397,1.295337778,"Bras Basah","CENTRAL REGION"
4159,"DOWNTOWN CORE",103.8510814,1.29489485,"City Hall","CENTRAL REGION"
4167,"DOWNTOWN CORE",103.8514532,1.292500065,"City Hall","CENTRAL REGION"
4168,"DOWNTOWN CORE",103.8512599,1.292082215,"City Hall","CENTRAL REGION"
