"OBJECTID","REGION_N","REGION_C","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR","SHAPE_Leng","SHAPE_Area"
1,"CENTRAL REGION","CR","F6D4903B6C0B72F8","2016/05/11",27836.5573,31929.9186,131065.464453,136405631.404
2,"EAST REGION","ER","646F1B60DAFE0282","2016/05/11",42245.8477,36760.4998,60375.7220566,112969679.679
3,"NORTH REGION","NR","3B51FFC82787B16B","2016/05/11",23647.9008,44176.7871,87426.7771641,139405603.405
4,"NORTH-EAST REGION","NER","21277DA34DEE03B8","2016/05/11",41561.9228,41689.7948,106583.903458,136053571.832
5,"WEST REGION","WR","11540153B663CA9B","2016/05/11",12896.436,33986.5714,258264.026231,257110296.977
