,Operator,ServiceNo,time_extracted,BusStopCode,OriginCode_NextBus1,DestinationCode_NextBus1,EstimatedArrival_NextBus1,Latitude_NextBus1,Longitude_NextBus1,VisitNumber_NextBus1,Load_NextBus1,Feature_NextBus1,Type_NextBus1
0,SBST,127A,2020-02-23 23:37:40,75009,75009,75281,2020-02-23T23:45:00+08:00,0,0,1,SEA,WAB,SD
1,SBST,23,2020-02-23 23:37:40,75009,75009,75009,2020-02-23T23:38:00+08:00,0,0,1,SEA,WAB,DD
2,SBST,28,2020-02-23 23:37:40,75009,75009,52009,2020-02-23T23:46:00+08:00,0,0,1,SEA,WAB,SD
3,SBST,29,2020-02-23 23:37:40,75009,75009,75009,2020-02-23T23:46:00+08:00,0,0,1,SEA,WAB,SD
4,SBST,291,2020-02-23 23:37:40,75009,75009,75009,2020-02-23T23:38:54+08:00,1.3558968333333334,103.93919666666666,2,SEA,WAB,SD
5,SBST,292,2020-02-23 23:37:40,75009,75009,75009,2020-02-23T23:37:00+08:00,0,0,1,SEA,WAB,SD
6,SBST,293,2020-02-23 23:37:40,75009,75009,75009,2020-02-23T23:41:40+08:00,1.3488470000000001,103.93672283333333,2,SEA,WAB,SD
7,GAS,3,2020-02-23 23:37:40,75009,75009,65009,2020-02-23T23:39:00+08:00,0,0,1,SEA,WAB,SD
8,SBST,38,2020-02-23 23:37:40,75009,75009,84009,2020-02-23T23:40:00+08:00,0,0,1,SEA,WAB,SD
9,GAS,3A,2020-02-23 23:37:40,75009,75009,77331,2020-02-23T23:53:00+08:00,0,0,1,SEA,WAB,SD
10,SBST,46,2020-02-23 23:37:40,75009,75009,94009,2020-02-23T23:45:00+08:00,0,0,1,SEA,WAB,DD
11,GAS,68,2020-02-23 23:37:40,75009,77009,77009,2020-02-23T23:38:45+08:00,1.3574668333333333,103.940796,1,SEA,WAB,DD
12,SBST,72,2020-02-23 23:37:40,75009,75009,55509,2020-02-23T23:45:00+08:00,0,0,1,SEA,WAB,DD
13,SMRT,969,2020-02-23 23:37:40,75009,75009,46009,2020-02-23T23:47:00+08:00,0,0,1,SEA,WAB,DD
14,SBST,23,2020-02-23 23:37:40,76059,75009,75009,2020-02-23T23:40:07+08:00,0,0,1,SEA,WAB,DD
15,SBST,292,2020-02-23 23:37:40,76059,75009,75009,2020-02-23T23:39:40+08:00,0,0,1,SEA,WAB,SD
16,SBST,293,2020-02-23 23:37:40,76059,75009,75009,2020-02-23T23:39:40+08:00,0,0,1,SEA,WAB,SD
17,GAS,3,2020-02-23 23:37:40,76059,75009,65009,2020-02-23T23:54:37+08:00,0,0,1,SEA,WAB,SD
18,SBST,31,2020-02-23 23:37:40,76059,75009,52009,2020-02-23T23:35:36+08:00,1.3530133333333334,103.9416965,1,SEA,WAB,SD
19,GAS,34,2020-02-23 23:37:40,76059,65009,65009,2020-02-23T23:39:05+08:00,1.3562585,103.9338095,1,SEA,WAB,SD
20,GAS,3A,2020-02-23 23:37:40,76059,75009,77331,2020-02-24T00:06:46+08:00,0,0,1,SEA,WAB,SD
21,SBST,168,2020-02-23 23:37:40,76069,46009,84009,2020-02-23T23:40:36+08:00,1.3567935,103.9450355,1,SEA,WAB,DD
