,0
639,77231
640,77281
641,77331
642,65191
643,67591
644,67411
645,67441
646,67271
647,67461
648,67451
649,64621
650,64609
651,64479
652,64489
653,64499
654,66059
655,66049
656,66369
657,80009
658,80119
659,80189
660,80179
661,80199
662,80191
663,90039
664,90029
665,90019
666,90079
667,90011
668,90021
669,90031
670,80171
671,80181
672,80111
673,67759
674,67359
675,67369
676,67379
677,67761
678,67319
679,67429
680,95151
681,95011
682,95109
683,95029
684,95129
685,95019
686,95209
687,95159
688,67421
689,67311
690,67769
691,67371
692,67361
693,67351
694,11159
695,11149
696,11139
697,10299
698,10289
699,10321
700,13031
701,13041
702,13201
703,13209
704,13049
705,13039
706,10329
707,10281
708,10291
709,11131
710,11141
711,11151
712,64329
713,64319
714,64309
715,64239
716,64209
717,63139
718,63239
719,63229
720,63339
721,63329
722,63391
723,63381
724,63371
725,64411
726,64509
727,64519
728,64419
729,63379
730,63389
731,63399
732,63321
733,63331
734,63221
735,63231
736,63131
737,64201
738,64231
739,64301
740,64311
741,64321
742,64071
743,64039
744,64371
745,64381
746,63261
747,63271
748,63281
749,63291
750,63301
751,62221
752,62219
753,62059
754,62229
755,63309
756,63299
757,63289
758,63279
759,63269
760,64389
761,64379
762,64031
763,64079
764,63099
765,63089
766,63079
767,63241
768,66439
769,66429
770,66101
771,66379
772,66359
773,66109
774,66421
775,66431
776,65009
777,65259
778,65409
779,65141
780,65431
781,59479
782,59759
783,59749
784,59739
785,59509
786,59729
787,59031
788,59041
789,59051
790,59061
791,59079
792,59091
793,59251
794,59521
795,58549
796,58261
797,58339
798,58211
799,58251
800,58009
801,58259
802,58219
803,58331
804,58269
805,58541
806,59529
807,59259
808,59099
809,59073
810,59059
811,59049
812,59039
813,59721
814,59501
815,59731
816,59741
817,59751
818,59471
819,65439
820,65149
821,65401
822,75359
823,75369
824,75319
825,75299
826,75379
827,75171
828,75159
829,75039
830,75241
831,75231
832,75221
833,75051
834,96119
835,96229
836,96311
837,96301
838,96401
839,97009
840,96361
841,96309
842,96319
843,96221
844,96111
845,75059
846,75229
847,75239
848,75249
849,75031
850,75151
851,75179
852,75371
853,75291
854,75311
855,75361
856,75351
857,65341
858,65331
859,67101
860,67111
861,67121
862,67131
863,67141
864,67151
865,67161
866,65019
867,64029
868,64021
869,65011
870,67169
871,67159
872,67139
873,67129
874,67119
875,67109
876,65339
877,65349
878,77009
879,78109
880,78081
881,78071
882,98099
883,98019
884,76249
885,76239
886,76039
887,76109
888,96129
889,96189
890,96199
891,96209
892,95909
893,96039
894,96029
