,Operator,ServiceNo,time_extracted,BusStopCode,OriginCode_NextBus1,DestinationCode_NextBus1,EstimatedArrival_NextBus1,Latitude_NextBus1,Longitude_NextBus1,VisitNumber_NextBus1,Load_NextBus1,Feature_NextBus1,Type_NextBus1
0,SBST,127A,2020-02-24 00:09:44,75009,75009,75281,2020-02-24T00:25:00+08:00,0,0,1,SEA,WAB,SD
1,SBST,291,2020-02-24 00:09:44,75009,75009,75009,2020-02-24T00:14:45+08:00,1.3528803333333332,103.93211016666666,2,SEA,WAB,SD
2,SBST,292,2020-02-24 00:09:44,75009,75009,75009,2020-02-24T00:21:00+08:00,0,0,1,SEA,WAB,SD
3,SBST,293,2020-02-24 00:09:44,75009,75009,75009,2020-02-24T00:09:12+08:00,1.35402,103.9425455,2,SEA,WAB,SD
4,SBST,38,2020-02-24 00:09:44,75009,75009,84009,2020-02-24T00:16:00+08:00,0,0,1,SEA,WAB,SD
5,GAS,3A,2020-02-24 00:09:44,75009,75009,77331,2020-02-24T00:21:00+08:00,0,0,1,SEA,WAB,SD
6,GAS,68,2020-02-24 00:09:44,75009,77009,77009,2020-02-24T00:14:40+08:00,1.3637918333333334,103.93815133333334,1,SEA,WAB,DD
7,SBST,292,2020-02-24 00:09:44,76059,75009,75009,2020-02-24T00:08:12+08:00,1.3529976666666668,103.94163,1,SEA,WAB,SD
8,SBST,293,2020-02-24 00:09:44,76059,75009,75009,2020-02-24T00:12:40+08:00,0,0,1,SEA,WAB,SD
9,GAS,34,2020-02-24 00:09:44,76059,65009,65009,2020-02-24T00:10:57+08:00,1.3559685,103.93729033333334,1,SEA,WAB,SD
10,GAS,3A,2020-02-24 00:09:44,76059,75009,77331,2020-02-24T00:12:35+08:00,1.3530980000000001,103.94175016666667,1,SEA,WAB,SD
11,SBST,168,2020-02-24 00:09:44,76069,46009,84009,2020-02-24T00:17:58+08:00,1.3605208333333334,103.9334625,1,SEA,WAB,DD
12,SBST,21,2020-02-24 00:09:44,76069,77009,52499,2020-02-24T00:23:17+08:00,1.3686861666666665,103.95815183333333,1,SEA,WAB,DD
13,SBST,27,2020-02-24 00:09:44,76069,64009,64009,2020-02-24T00:14:19+08:00,1.3603665,103.94079416666666,1,SEA,WAB,SD
14,SBST,292,2020-02-24 00:09:44,76069,75009,75009,2020-02-24T00:09:47+08:00,1.3529976666666668,103.94163,1,SEA,WAB,SD
15,GAS,34,2020-02-24 00:09:44,76069,65009,65009,2020-02-24T00:13:03+08:00,1.3559685,103.93729033333334,1,SEA,WAB,SD
16,GAS,17,2020-02-24 00:09:44,96289,77009,84009,2020-02-24T00:26:49+08:00,1.3756748333333333,103.95803833333333,1,SEA,WAB,DD
17,SBST,5,2020-02-24 00:09:44,96289,10009,77009,2020-02-24T00:23:18+08:00,1.3303146666666668,103.903723,1,SEA,WAB,DD
18,GAS,17,2020-02-24 00:09:44,96109,77009,84009,2020-02-24T00:08:56+08:00,1.3388695,103.9492635,1,SEA,WAB,DD
19,SBST,9,2020-02-24 00:09:44,96109,84009,84009,2020-02-24T00:21:28+08:00,1.3714351666666666,103.9723985,1,SEA,WAB,DD
20,SBST,9,2020-02-24 00:09:44,85079,84009,84009,2020-02-24T00:23:12+08:00,1.3714351666666666,103.9723985,1,SEA,WAB,DD
21,SBST,9,2020-02-24 00:09:45,85089,84009,84009,2020-02-24T00:23:29+08:00,1.3714351666666666,103.9723985,1,SEA,WAB,DD
22,SBST,9,2020-02-24 00:09:45,85069,84009,84009,2020-02-24T00:24:14+08:00,1.3714351666666666,103.9723985,1,SEA,WAB,DD
23,SBST,9,2020-02-24 00:09:45,85059,84009,84009,2020-02-24T00:24:55+08:00,1.3714351666666666,103.9723985,1,SEA,WAB,DD
24,SBST,45,2020-02-24 00:09:45,85049,55009,94009,2020-02-24T00:09:51+08:00,1.32856,103.94951483333334,1,SEA,WAB,SD
25,SBST,45,2020-02-24 00:09:45,85039,55009,94009,2020-02-24T00:10:25+08:00,1.32856,103.94951483333334,1,SEA,WAB,SD
26,SBST,45,2020-02-24 00:09:45,85029,55009,94009,2020-02-24T00:10:53+08:00,1.32856,103.94951483333334,1,SEA,WAB,SD
27,SBST,45,2020-02-24 00:09:45,85019,55009,94009,2020-02-24T00:11:11+08:00,1.32856,103.94951483333334,1,SEA,WAB,SD
28,SBST,45,2020-02-24 00:09:45,94079,55009,94009,2020-02-24T00:11:57+08:00,1.32856,103.94951483333334,1,SEA,WAB,SD
29,SBST,14,2020-02-24 00:09:46,93099,84009,17009,2020-02-24T00:08:52+08:00,1.3140863333333332,103.933847,1,SEA,WAB,DD
30,SBST,14,2020-02-24 00:09:46,93089,84009,17009,2020-02-24T00:09:42+08:00,1.3140863333333332,103.933847,1,SEA,WAB,DD
31,SBST,14,2020-02-24 00:09:46,93079,84009,17009,2020-02-24T00:11:06+08:00,1.3145188333333333,103.93735316666667,1,SEA,WAB,DD
32,SBST,14,2020-02-24 00:09:46,93069,84009,17009,2020-02-24T00:11:36+08:00,1.3140863333333332,103.933847,1,SEA,WAB,DD
33,GAS,12,2020-02-24 00:09:46,93059,77009,10499,2020-02-24T00:09:03+08:00,1.3116211666666666,103.92218333333334,1,SEA,WAB,DD
34,SBST,14,2020-02-24 00:09:46,93059,84009,17009,2020-02-24T00:12:42+08:00,1.3140863333333332,103.933847,1,SEA,WAB,DD
35,GAS,12,2020-02-24 00:09:46,92159,77009,10499,2020-02-24T00:09:34+08:00,1.3116211666666666,103.92218333333334,1,SEA,WAB,DD
36,SBST,14,2020-02-24 00:09:46,92159,84009,17009,2020-02-24T00:13:19+08:00,1.3140863333333332,103.933847,1,SEA,WAB,DD
37,GAS,12,2020-02-24 00:09:46,92149,77009,10499,2020-02-24T00:10:15+08:00,1.3116211666666666,103.92218333333334,1,SEA,WAB,DD
38,SBST,14,2020-02-24 00:09:46,92149,84009,17009,2020-02-24T00:14:07+08:00,1.3140863333333332,103.933847,1,SEA,WAB,DD
39,GAS,12,2020-02-24 00:09:47,92139,77009,10499,2020-02-24T00:11:16+08:00,1.3116211666666666,103.92218333333334,1,SEA,WAB,DD
40,SBST,14,2020-02-24 00:09:47,92139,84009,17009,2020-02-24T00:15:11+08:00,1.3140863333333332,103.933847,1,SEA,WAB,DD
41,GAS,12,2020-02-24 00:09:47,92129,77009,10499,2020-02-24T00:12:40+08:00,1.3123681666666667,103.923974,1,SEA,WAB,DD
42,SBST,14,2020-02-24 00:09:47,92129,84009,17009,2020-02-24T00:07:51+08:00,1.3069006666666667,103.90646633333333,1,SEA,WAB,DD
43,GAS,12,2020-02-24 00:09:47,92119,77009,10499,2020-02-24T00:14:17+08:00,1.3116211666666666,103.92218333333334,1,SEA,WAB,DD
44,SBST,14,2020-02-24 00:09:47,92119,84009,17009,2020-02-24T00:08:45+08:00,1.3045499999999999,103.902847,1,SEA,WAB,DD
45,GAS,12,2020-02-24 00:09:47,92109,77009,10499,2020-02-24T00:14:54+08:00,1.3116211666666666,103.92218333333334,1,SEA,WAB,DD
46,SBST,14,2020-02-24 00:09:47,92109,84009,17009,2020-02-24T00:09:22+08:00,1.3045499999999999,103.902847,1,SEA,WAB,DD
47,GAS,12,2020-02-24 00:09:47,92099,77009,10499,2020-02-24T00:15:31+08:00,1.3116211666666666,103.92218333333334,1,SEA,WAB,DD
