Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area
0,1012,Hotel Grand Pacific,1.296848255,103.8525359,Victoria St,DOWNTOWN CORE
1,1013,St. Joseph's Ch,1.297709706,103.8532247,Victoria St,ROCHOR
2,1019,Bras Basah Cplx,1.296989512,103.853022,Victoria St,DOWNTOWN CORE
3,1029,Opp Natl Lib,1.296672985,103.8544142,Nth Bridge Rd,DOWNTOWN CORE
4,1039,Bugis Cube,1.298207841,103.8554914,Nth Bridge Rd,DOWNTOWN CORE
5,1059,Bugis Stn Exit B,1.300756795,103.8561104,Victoria St,DOWNTOWN CORE
6,1109,Queen St Ter,1.303585776,103.8565037,Queen St,ROCHOR
7,1112,Opp Bugis Junction,1.300092128,103.8552003,Victoria St,ROCHOR
8,1113,Bugis Stn Exit A,1.301172975,103.856114,Victoria St,DOWNTOWN CORE
9,1119,Bugis Junction,1.299604109,103.8551293,Victoria St,DOWNTOWN CORE
10,1121,Stamford Pr Sch,1.303938097,103.85868,Victoria St,ROCHOR
11,1129,Opp Stamford Pr Sch,1.303502692,103.8586453,Victoria St,ROCHOR
12,1139,Parkview Sq,1.300330579,103.8571608,Nth Bridge Rd,DOWNTOWN CORE
13,1211,Opp Blk 461,1.305518035,103.860545,Victoria St,KALLANG
14,1219,Blk 461,1.305265985,103.8607202,Victoria St,KALLANG
15,1229,Bef Sultan Mque,1.303375526,103.8596309,Nth Bridge Rd,ROCHOR
16,1231,Opp Textile Ctr,1.30325,103.8610831,Jln Sultan,ROCHOR
17,1239,Sultan Plaza,1.302912366,103.8616182,Jln Sultan,KALLANG
18,1311,Lavender Stn Exit B,1.307091646,103.862197,Kallang Rd,KALLANG
19,1319,Lavender Stn Exit A/ICA,1.307574267,103.863256,Kallang Rd,KALLANG
20,1329,Blk 8,1.304956702,103.8636303,Nth Bridge Rd,KALLANG
21,1339,Bef Crawford Bridge,1.307746017,103.8642627,Crawford St,KALLANG
22,1341,Southbank,1.306475556,103.8645253,Crawford St,KALLANG
23,1349,Opp Blk 4,1.305686357,103.8654399,Crawford St,KALLANG
24,1411,Opp St. John HQ,1.302113329,103.862956,Beach Rd,KALLANG
25,1419,St. John HQ,1.30202,103.8632633,Beach Rd,KALLANG
26,1421,Opp Golden Mile Cplx,1.303384444,103.8648389,Beach Rd,KALLANG
27,1429,Golden Mile Cplx,1.303213609,103.8650158,Beach Rd,KALLANG
28,1511,Opp The Gateway,1.299198261,103.8586452,Beach Rd,DOWNTOWN CORE
29,1519,The Gateway,1.299074925,103.8589103,Beach Rd,DOWNTOWN CORE
30,1521,Opp Plaza Parkroyal,1.300883044,103.860661,Beach Rd,ROCHOR
31,1529,Plaza Parkroyal,1.300416677,103.8604412,Beach Rd,ROCHOR
32,1541,Bugis Stn Exit D,1.298864654,103.8573458,Rochor Rd,DOWNTOWN CORE
33,1549,Opp Duo Residences,1.300698689,103.8587312,Ophir Rd,ROCHOR
34,1559,Landmark Village Hotel,1.301687311,103.8575292,Ophir Rd,ROCHOR
35,1611,Aft Raffles Hotel,1.295272592,103.8553369,Beach Rd,DOWNTOWN CORE
36,1619,Esplanade Stn Exit F,1.294286942,103.8550381,Beach Rd,DOWNTOWN CORE
37,1621,Opp Shaw Twrs,1.296958889,103.8565561,Beach Rd,DOWNTOWN CORE
38,1629,Shaw Twrs,1.296959722,103.8568653,Beach Rd,DOWNTOWN CORE
39,1631,Aft Beach Rd,1.296936146,103.8558056,Middle Rd,DOWNTOWN CORE
40,1639,Bef Beach Rd,1.2973875,103.8555758,Middle Rd,DOWNTOWN CORE
41,2029,Opp S'pore Cricket Club,1.288790151,103.8529332,Connaught Dr,DOWNTOWN CORE
42,2049,Raffles Hotel,1.294520912,103.8540216,Bras Basah Rd,DOWNTOWN CORE
43,2051,The Float @ Marina Bay,1.289503056,103.8590339,Raffles Ave,DOWNTOWN CORE
44,2061,The Esplanade,1.289963889,103.8564039,Raffles Ave,DOWNTOWN CORE
